clock,period,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,shotValue
PT01M01.00S,1,CHI,1630644,McClung,M. McClung,0,0,0,,0,,,0,v,MISS McClung Free Throw Flagrant 1 of 3,Free Throw,Free Throw Flagrant 1 of 3,0
PT01M01.00S,1,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Normal Rebound,0
PT01M01.00S,1,CHI,1630644,McClung,M. McClung,0,0,0,,0,41,29,70,v,McClung Free Throw Flagrant 2 of 3 (4 PTS),Free Throw,Free Throw Flagrant 2 of 3,0
PT01M01.00S,1,CHI,1630644,McClung,M. McClung,0,0,0,,0,41,30,71,v,McClung Free Throw Flagrant 3 of 3 (5 PTS),Free Throw,Free Throw Flagrant 3 of 3,0
PT00M49.30S,1,CHI,1630200,Jones,T. Jones,-7,6,1,Made,1,41,32,73,v,Jones 1' Driving Reverse Layup (6 PTS),Made Shot,Driving Reverse Layup Shot,2
PT00M33.40S,1,DAL,1642967,Poulakidas,J. Poulakidas,-11,119,12,Missed,1,,,0,h,MISS Poulakidas 12' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,2
PT00M30.40S,1,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith REBOUND (Off:1 Def:2),Rebound,Unknown,0
PT00M30.40S,1,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams S.FOUL (P1.T4) (M.Kogut),Foul,Shooting,0
PT00M30.40S,1,DAL,1641890,Smith,T. Smith,0,0,0,,0,42,32,74,h,Smith Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0
PT00M30.40S,1,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Lane,Violation,Lane,0
PT00M30.40S,1,DAL,1641890,Smith,T. Smith,0,0,0,,0,43,32,75,h,Smith Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0
PT00M18.10S,1,CHI,1629012,Sexton,C. Sexton,-6,13,1,Made,1,43,34,77,v,Sexton 1' Driving Layup (7 PTS) (Williams 2 AST),Made Shot,Driving Layup Shot,2
PT00M02.10S,1,DAL,1630619,Cisse,M. Cisse,-4,-4,1,Made,1,45,34,79,h,Cisse 1' Dunk (2 PTS) (Nembhard 4 AST),Made Shot,Dunk Shot,2
PT00M00.40S,1,,0,,,0,0,0,,0,,,0,v,BULLS Heave,Heave,Team Field Goal Attempt,0
PT00M00.10S,1,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0
PT00M00.00S,1,,0,,,0,0,0,,0,45,34,79,,End of 1st Period (9:09 PM EST),period,end,0
PT12M00.00S,2,,0,,,0,0,0,,0,45,34,79,,Start of 2nd Period (9:12 PM EST),period,start,0
PT11M40.00S,2,DAL,1642843,Flagg,C. Flagg,-7,59,6,Made,1,47,34,81,h,Flagg 6' Driving Floating Jump Shot (10 PTS) (Nembhard 5 AST),Made Shot,Driving Floating Jump Shot,2
PT11M28.00S,2,CHI,1630200,Jones,T. Jones,5,88,9,Missed,1,,,0,v,MISS Jones 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,2
PT11M27.00S,2,,1610612742,,,0,0,0,,0,,,0,h,MAVERICKS Rebound,Rebound,Unknown,0
PT11M13.00S,2,DAL,1642948,Nembhard,R. Nembhard,-60,90,11,Missed,1,,,0,h,MISS Nembhard 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,2
PT11M10.00S,2,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham REBOUND (Off:0 Def:3),Rebound,Unknown,0
PT11M03.00S,2,CHI,1642265,Dillingham,R. Dillingham,-38,130,14,Made,1,47,36,83,v,Dillingham 14' Driving Floating Jump Shot (9 PTS),Made Shot,Driving Floating Jump Shot,2
PT10M44.00S,2,DAL,1641890,Smith,T. Smith,-228,-5,0,Made,1,50,36,86,h,Smith 3PT Jump Shot (8 PTS) (Poulakidas 1 AST),Made Shot,Jump Shot,3
PT10M42.00S,2,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller Out of Bounds - Bad Pass Turnover Turnover (P2.T3),Turnover,Out of Bounds - Bad Pass Turnover,0
