clock,period,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,shotValue
PT02M02.00S,2,DAL,202691,Thompson,K. Thompson,0,0,0,,0,,,0,h,SUB: Poulakidas FOR Thompson,Substitution,,0
PT01M49.00S,2,CHI,1630172,Williams,P. Williams,194,174,26,Missed,1,,,0,v,MISS Williams 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT01M47.00S,2,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller REBOUND (Off:1 Def:3),Rebound,Unknown,0
PT01M43.00S,2,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,Poulakidas P.FOUL (P3.T3) (M.Kogut),Foul,Personal,0
PT01M33.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye Lost Ball Turnover (P2.T8),Turnover,Lost Ball,0
PT01M33.00S,2,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard STEAL (2 STL),,,0
PT01M28.00S,2,DAL,1642948,Nembhard,R. Nembhard,33,11,3,Missed,1,,,0,h,MISS Nembhard 3' Running Layup,Missed Shot,Running Layup Shot,2
PT01M28.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye BLOCK (1 BLK),,,2
PT01M26.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye REBOUND (Off:1 Def:1),Rebound,Unknown,0
PT01M22.00S,2,CHI,1631159,Miller,L. Miller,4,18,2,Made,1,76,54,130,v,Miller 2' Running Dunk (8 PTS) (Gueye 2 AST),Made Shot,Running Dunk Shot,2
PT01M22.00S,2,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell Violation:Defensive Goaltending (M.Kogut),Violation,Defensive Goaltending,0
PT01M22.00S,2,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell S.FOUL (P1.PN) (J.Butler),Foul,Shooting,0
PT01M22.00S,2,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,SUB: Dillingham FOR Sexton,Substitution,,0
PT01M22.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,SUB: Olbrich FOR Gueye,Substitution,,0
PT01M22.00S,2,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,MISS Miller Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0
PT01M20.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:4 Def:5),Rebound,Unknown,0
PT01M14.00S,2,DAL,1641890,Smith,T. Smith,21,51,6,Made,1,78,54,132,h,Smith 6' Running Pull-Up Jump Shot (17 PTS) (Nembhard 12 AST),Made Shot,Running Pull-Up Jump Shot,2
PT01M01.00S,2,CHI,1630172,Williams,P. Williams,-152,249,29,Missed,1,,,0,v,MISS Williams 29' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT00M59.40S,2,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:1 Def:5),Rebound,Unknown,0
PT00M40.40S,2,CHI,1630200,Jones,T. Jones,0,0,0,,0,,,0,v,Jones P.FOUL (P1.T4) (B.Taylor),Foul,Personal,0
PT00M34.50S,2,DAL,1642967,Poulakidas,J. Poulakidas,6,246,25,Missed,1,,,0,h,MISS Poulakidas 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT00M29.80S,2,CHI,1630200,Jones,T. Jones,0,0,0,,0,,,0,v,Jones REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT00M25.00S,2,CHI,1631159,Miller,L. Miller,-221,113,25,Missed,1,,,0,v,MISS Miller 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,3
PT00M22.10S,2,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,Poulakidas REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT00M20.80S,2,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,Poulakidas Lost Ball Turnover (P1.T9),Turnover,Lost Ball,0
PT00M20.80S,2,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich STEAL (2 STL),,,0
PT00M20.00S,2,CHI,1642950,Olbrich,L. Olbrich,0,20,2,Made,1,78,56,134,v,Olbrich 2' Dunk (2 PTS),Made Shot,Dunk Shot,2
PT00M04.20S,2,DAL,1642948,Nembhard,R. Nembhard,-16,-5,2,Made,1,80,56,136,h,Nembhard 2' Driving Layup (8 PTS),Made Shot,Driving Layup Shot,2
PT00M00.00S,2,,0,,,0,0,0,,0,,,0,v,BULLS Heave,Heave,Team Field Goal Attempt,0
PT00M00.00S,2,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0
PT00M00.00S,2,,0,,,0,0,0,,0,80,56,136,,End of 2nd Period (9:36 PM EST),period,end,0
PT12M00.00S,3,,0,,,0,0,0,,0,80,56,136,,Start of 3rd Period (9:51 PM EST),period,start,0
PT11M49.00S,3,DAL,203939,Powell,D. Powell,-114,235,26,Missed,1,,,0,h,MISS Powell 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT11M46.00S,3,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0
PT11M29.00S,3,CHI,1629012,Sexton,C. Sexton,15,29,3,Missed,1,,,0,v,MISS Sexton 3' Driving Layup,Missed Shot,Driving Layup Shot,2
PT11M29.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse BLOCK (2 BLK),,,2
PT11M26.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,Poulakidas REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT11M22.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,-186,162,25,Made,1,83,56,139,h,Poulakidas 25' 3PT Running Jump Shot (6 PTS) (Nembhard 13 AST),Made Shot,Running Jump Shot,3
PT11M02.00S,3,CHI,1630172,Williams,P. Williams,-147,215,26,Missed,1,,,0,v,MISS Williams 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,3
PT11M01.00S,3,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:3 Def:1),Rebound,Unknown,0
PT10M59.00S,3,CHI,1631159,Miller,L. Miller,-20,251,25,Made,1,83,59,142,v,Miller 25' 3PT Jump Shot (11 PTS) (Olbrich 5 AST),Made Shot,Jump Shot,3
PT10M42.00S,3,DAL,1630619,Cisse,M. Cisse,-20,16,3,Missed,1,,,0,h,MISS Cisse 3' Driving Layup,Missed Shot,Driving Layup Shot,2
PT10M39.00S,3,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller REBOUND (Off:1 Def:4),Rebound,Unknown,0
PT10M30.00S,3,CHI,1630172,Williams,P. Williams,-109,229,25,Made,1,83,62,145,v,Williams 25' 3PT Jump Shot (10 PTS) (Miller 1 AST),Made Shot,Jump Shot,3
PT10M14.00S,3,DAL,1642948,Nembhard,R. Nembhard,-188,176,26,Missed,1,,,0,h,MISS Nembhard 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT10M11.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:5 Def:5),Rebound,Unknown,0
PT10M05.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,189,176,26,Made,1,86,62,148,h,Poulakidas 26' 3PT Jump Shot (9 PTS) (Nembhard 14 AST),Made Shot,Jump Shot,3
PT09M52.00S,3,CHI,1631159,Miller,L. Miller,4,3,1,Made,1,86,64,150,v,Miller 1' Cutting Dunk Shot (13 PTS) (Jones 2 AST),Made Shot,Cutting Dunk Shot,2
PT09M39.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,113,235,26,Missed,1,,,0,h,MISS Poulakidas 26' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT09M39.00S,3,CHI,1630200,Jones,T. Jones,0,0,0,,0,,,0,v,Jones REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT09M26.00S,3,CHI,1642950,Olbrich,L. Olbrich,-66,4,7,Made,1,86,66,152,v,Olbrich 7' Floating Jump Shot (4 PTS) (Williams 3 AST),Made Shot,Floating Jump shot,2
PT09M11.00S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,Johnson OFF.Foul (P4) (M.Kogut),Foul,Offensive,0
PT09M11.00S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,Johnson Offensive Foul Turnover (P4.T10),Turnover,Offensive Foul Turnover,0
PT09M11.00S,3,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,SUB: Smith FOR Nembhard,Substitution,,0
PT08M51.00S,3,CHI,1630200,Jones,T. Jones,28,34,4,Missed,1,,,0,v,MISS Jones 4' Driving Layup,Missed Shot,Driving Layup Shot,2
PT08M51.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,Poulakidas BLOCK (1 BLK),,,2
PT08M49.00S,3,CHI,1630200,Jones,T. Jones,0,0,0,,0,,,0,v,Jones REBOUND (Off:1 Def:2),Rebound,Unknown,0
PT08M46.00S,3,CHI,1630200,Jones,T. Jones,228,3,0,Missed,1,,,0,v,MISS Jones 3PT Jump Shot,Missed Shot,Jump Shot,3
PT08M42.00S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT08M41.00S,3,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams S.FOUL (P2.T1) (M.Kogut),Foul,Shooting,0
PT08M41.00S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,87,66,153,h,Johnson Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0
PT08M41.00S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,88,66,154,h,Johnson Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0
PT08M34.00S,3,CHI,1629012,Sexton,C. Sexton,-12,4,1,Made,1,88,68,156,v,Sexton 1' Driving Layup (11 PTS),Made Shot,Driving Layup Shot,2
PT08M22.00S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,SUB: Nembhard FOR Johnson,Substitution,,0
PT08M22.00S,3,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,SUB: Gueye FOR Miller,Substitution,,0
PT08M22.00S,3,CHI,1630200,Jones,T. Jones,0,0,0,,0,,,0,v,SUB: Dillingham FOR Jones,Substitution,,0
PT08M14.00S,3,DAL,1642948,Nembhard,R. Nembhard,25,159,16,Made,1,90,68,158,h,Nembhard 16' Fadeaway Jumper (10 PTS),Made Shot,Fadeaway Jump Shot,2
PT08M06.00S,3,CHI,1630172,Williams,P. Williams,130,214,25,Missed,1,,,0,v,MISS Williams 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,3
PT08M04.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:5 Def:6),Rebound,Unknown,0
PT08M00.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,-162,262,31,Made,1,93,68,161,h,Poulakidas 31' 3PT Running Pull-Up Jump Shot (12 PTS) (Nembhard 15 AST),Made Shot,Running Pull-Up Jump Shot,3
PT07M44.00S,3,CHI,1629012,Sexton,C. Sexton,1,131,13,Made,1,93,70,163,v,Sexton 13' Pullup Jump Shot (13 PTS) (Gueye 3 AST),Made Shot,Pullup Jump shot,2
PT07M32.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,-145,265,30,Missed,1,,,0,h,MISS Poulakidas 30' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT07M29.00S,3,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:2 Def:5),Rebound,Unknown,0
PT07M27.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse OFF.Foul (P1) (B.Taylor),Foul,Offensive,0
PT07M27.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse Offensive Foul Turnover (P2.T11),Turnover,Offensive Foul Turnover,0
PT07M18.00S,3,CHI,1629012,Sexton,C. Sexton,-1,13,1,Made,1,93,72,165,v,Sexton 1' Driving Finger Roll Layup (15 PTS),Made Shot,Driving Finger Roll Layup Shot,2
PT07M18.00S,3,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell S.FOUL (P2.T1) (M.Kogut),Foul,Shooting,0
PT07M18.00S,3,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,93,73,166,v,Sexton Free Throw 1 of 1 (16 PTS),Free Throw,Free Throw 1 of 1,0
PT06M56.00S,3,DAL,1642948,Nembhard,R. Nembhard,-28,102,11,Missed,1,,,0,h,MISS Nembhard 11' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,2
PT06M56.00S,3,,1610612742,,,0,0,0,,0,,,0,h,MAVERICKS Rebound,Rebound,Unknown,0
PT06M56.00S,3,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich L.B.FOUL (P1.T2) (B.Taylor),Foul,Loose Ball,0
PT06M56.00S,3,,1610612742,,,0,0,0,,0,,,0,h,MAVERICKS Timeout: Regular (Full 3 Short 0),Timeout,Regular,0
PT06M56.00S,3,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,SUB: Miller FOR Olbrich,Substitution,,0
PT06M51.00S,3,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard Bad Pass Turnover (P2.T12),Turnover,Bad Pass,0
PT06M51.00S,3,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams STEAL (1 STL),,,0
PT06M51.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse P.FOUL (P2.T2) (J.Butler),Foul,Personal,0
PT06M36.00S,3,CHI,1630172,Williams,P. Williams,28,47,5,Missed,1,,,0,v,MISS Williams 5' Driving Bank Hook Shot,Missed Shot,Driving Bank Hook Shot,2
PT06M34.00S,3,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:2 Def:6),Rebound,Unknown,0
PT06M17.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,232,10,0,Missed,1,,,0,h,MISS Poulakidas 3PT Jump Shot,Missed Shot,Jump Shot,3
PT06M16.00S,3,,1610612742,,,0,0,0,,0,,,0,h,MAVERICKS Rebound,Rebound,Unknown,0
PT06M16.00S,3,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,SUB: Johnson FOR Powell,Substitution,,0
PT06M13.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,-16,102,10,Made,1,95,73,168,h,Poulakidas 10' Driving Floating Jump Shot (14 PTS) (Nembhard 16 AST),Made Shot,Driving Floating Jump Shot,2
PT06M13.00S,3,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham S.FOUL (P2.T3) (J.Butler),Foul,Shooting,0
PT06M13.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,96,73,169,h,Poulakidas Free Throw 1 of 1 (15 PTS),Free Throw,Free Throw 1 of 1,0
PT06M01.00S,3,CHI,1642265,Dillingham,R. Dillingham,-152,199,25,Made,1,96,76,172,v,Dillingham 25' 3PT Jump Shot (20 PTS) (Gueye 4 AST),Made Shot,Jump Shot,3
PT05M52.00S,3,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton S.FOUL (P3.T4) (M.Kogut),Foul,Shooting,0
PT05M52.00S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,97,76,173,h,Johnson Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0
PT05M52.00S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,98,76,174,h,Johnson Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0
PT05M42.00S,3,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham Bad Pass Turnover (P4.T9),Turnover,Bad Pass,0
PT05M42.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse STEAL (1 STL),,,0
PT05M25.00S,3,DAL,1641890,Smith,T. Smith,230,6,0,Missed,1,,,0,h,MISS Smith 3PT Jump Shot,Missed Shot,Jump Shot,3
PT05M23.00S,3,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham REBOUND (Off:0 Def:5),Rebound,Unknown,0
PT05M11.00S,3,CHI,1631338,Gueye,M. Gueye,223,8,0,Missed,1,,,0,v,MISS Gueye 3PT Jump Shot,Missed Shot,Jump Shot,3
PT05M09.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:5 Def:7),Rebound,Unknown,0
PT05M00.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,229,11,0,Made,1,101,76,177,h,Poulakidas 3PT Jump Shot (18 PTS) (Nembhard 17 AST),Made Shot,Jump Shot,3
PT04M48.00S,3,CHI,1629012,Sexton,C. Sexton,-94,82,12,Missed,1,,,0,v,MISS Sexton 12' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,2
PT04M45.00S,3,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye REBOUND (Off:2 Def:1),Rebound,Unknown,0
PT04M45.00S,3,CHI,1631338,Gueye,M. Gueye,0,0,0,Missed,1,,,0,v,MISS Gueye Tip Layup Shot,Missed Shot,Tip Layup Shot,2
PT04M44.00S,3,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:0 Def:5),Rebound,Unknown,0
PT04M35.00S,3,DAL,1630619,Cisse,M. Cisse,-1,7,1,Made,1,103,76,179,h,Cisse 1' Cutting Dunk Shot (8 PTS) (Nembhard 18 AST),Made Shot,Cutting Dunk Shot,2
PT04M18.00S,3,CHI,1642265,Dillingham,R. Dillingham,-11,-1,1,Made,1,103,78,181,v,Dillingham 1' Driving Layup (22 PTS),Made Shot,Driving Layup Shot,2
PT03M57.00S,3,DAL,1642358,Johnson,A. Johnson,9,10,1,Made,1,105,78,183,h,Johnson 1' Driving Layup (8 PTS),Made Shot,Driving Layup Shot,2
PT03M53.00S,3,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham Bad Pass Turnover (P5.T10),Turnover,Bad Pass,0
PT03M53.00S,3,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith STEAL (2 STL),,,0
PT03M43.00S,3,DAL,1642358,Johnson,A. Johnson,107,223,25,Missed,1,,,0,h,MISS Johnson 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT03M41.00S,3,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:1 Def:5),Rebound,Unknown,0
PT03M39.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,-165,197,26,Made,1,108,78,186,h,Poulakidas 26' 3PT Jump Shot (21 PTS) (Nembhard 19 AST),Made Shot,Jump Shot,3
PT03M26.00S,3,CHI,1629012,Sexton,C. Sexton,88,230,25,Made,1,108,81,189,v,Sexton 25' 3PT Jump Shot (19 PTS) (Dillingham 2 AST),Made Shot,Jump Shot,3
PT03M07.00S,3,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard Bad Pass Turnover (P3.T13),Turnover,Bad Pass,0
PT03M07.00S,3,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,Dillingham STEAL (2 STL),,,0
PT03M04.00S,3,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller Traveling Turnover (P3.T11),Turnover,Traveling,0
PT03M04.00S,3,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,SUB: Powell FOR Nembhard,Substitution,,0
PT03M04.00S,3,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,SUB: Olbrich FOR Sexton,Substitution,,0
PT03M04.00S,3,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,SUB: McClung FOR Gueye,Substitution,,0
PT02M52.00S,3,,1610612741,,,0,0,0,,0,,,0,v,Bulls Timeout: Regular (Reg.4 Short 0),Timeout,Regular,0
PT02M52.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse OFF.Foul (P3) (B.Taylor),Foul,Offensive,0
PT02M52.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse Offensive Foul Turnover (P3.T14),Turnover,Offensive Foul Turnover,0
PT02M39.00S,3,CHI,1642265,Dillingham,R. Dillingham,20,55,6,Missed,1,,,0,v,MISS Dillingham 6' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,2
PT02M38.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:5 Def:8),Rebound,Unknown,0
PT02M31.00S,3,DAL,1642358,Johnson,A. Johnson,6,10,1,Made,1,110,81,191,h,Johnson 1' Driving Layup (10 PTS),Made Shot,Driving Layup Shot,2
PT02M14.00S,3,CHI,1642265,Dillingham,R. Dillingham,-6,147,15,Missed,1,,,0,v,MISS Dillingham 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,2
PT02M12.00S,3,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:2 Def:7),Rebound,Unknown,0
PT02M03.00S,3,DAL,1642967,Poulakidas,J. Poulakidas,-36,253,26,Made,1,113,81,194,h,Poulakidas 26' 3PT Pullup Jump Shot (24 PTS) (Powell 2 AST),Made Shot,Pullup Jump shot,3
PT01M52.00S,3,CHI,1630172,Williams,P. Williams,-137,206,25,Missed,1,,,0,v,MISS Williams 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT01M50.00S,3,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:4 Def:1),Rebound,Unknown,0
PT01M46.00S,3,CHI,1630644,McClung,M. McClung,-234,1,0,Missed,1,,,0,v,MISS McClung 3PT Jump Shot,Missed Shot,Jump Shot,3
PT01M46.00S,3,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:2 Def:8),Rebound,Unknown,0
PT01M31.00S,3,DAL,1642358,Johnson,A. Johnson,-11,17,2,Missed,1,,,0,h,MISS Johnson 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,2
PT01M30.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:6 Def:8),Rebound,Unknown,0
PT01M30.00S,3,DAL,1630619,Cisse,M. Cisse,-1,11,1,Made,1,115,81,196,h,Cisse 1' Putback Layup (10 PTS),Made Shot,Putback Layup Shot,2
PT01M30.00S,3,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller S.FOUL (P2.PN) (B.Taylor),Foul,Shooting,0
PT01M30.00S,3,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,MISS Cisse Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0
PT01M27.00S,3,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,Miller REBOUND (Off:1 Def:5),Rebound,Unknown,0
PT01M14.00S,3,CHI,1630644,McClung,M. McClung,-88,242,26,Made,1,115,84,199,v,McClung 26' 3PT Pullup Jump Shot (8 PTS) (Miller 2 AST),Made Shot,Pullup Jump shot,3
PT00M57.60S,3,DAL,1642358,Johnson,A. Johnson,-25,41,5,Missed,1,,,0,h,MISS Johnson 5' Driving Layup,Missed Shot,Driving Layup Shot,2
PT00M55.10S,3,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:4 Def:2),Rebound,Unknown,0
PT00M53.30S,3,CHI,1631159,Miller,L. Miller,5,5,1,Made,1,115,86,201,v,Miller 1' Running Dunk (15 PTS) (Dillingham 3 AST),Made Shot,Running Dunk Shot,2
PT00M45.50S,3,CHI,1630644,McClung,M. McClung,0,0,0,,0,,,0,v,McClung P.FOUL (P1.PN) (M.Kogut),Foul,Personal,0
PT00M45.50S,3,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,116,86,202,h,Poulakidas Free Throw 1 of 2 (25 PTS),Free Throw,Free Throw 1 of 2,0
PT00M45.50S,3,CHI,1631159,Miller,L. Miller,0,0,0,,0,,,0,v,SUB: Gueye FOR Miller,Substitution,,0
PT00M45.50S,3,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,MISS Poulakidas Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0
PT00M43.70S,3,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:4 Def:3),Rebound,Unknown,0
PT00M33.50S,3,CHI,1631338,Gueye,M. Gueye,228,61,24,Missed,1,,,0,v,MISS Gueye 24' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT00M33.50S,3,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0
PT00M22.80S,3,CHI,1642265,Dillingham,R. Dillingham,-33,1,3,Made,1,116,88,204,v,Dillingham 3' Driving Layup (24 PTS),Made Shot,Driving Layup Shot,2
PT00M04.50S,3,DAL,1642358,Johnson,A. Johnson,36,21,4,Made,1,118,88,206,h,Johnson 4' Driving Layup (12 PTS),Made Shot,Driving Layup Shot,2
PT00M04.50S,3,CHI,1630644,McClung,M. McClung,0,0,0,,0,,,0,v,McClung S.FOUL (P2.PN) (J.Butler),Foul,Shooting,0
PT00M04.50S,3,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,119,88,207,h,Johnson Free Throw 1 of 1 (13 PTS),Free Throw,Free Throw 1 of 1,0
PT00M00.00S,3,,0,,,0,0,0,,0,119,88,207,,End of 3rd Period (10:17 PM EST),period,end,0
PT12M00.00S,4,,0,,,0,0,0,,0,119,88,207,,Start of 4th Period (10:20 PM EST),period,start,0
PT11M50.00S,4,CHI,1642530,Kawamura,Y. Kawamura,-108,220,25,Missed,1,,,0,v,MISS Kawamura 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT11M45.00S,4,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:1 Def:6),Rebound,Unknown,0
PT11M34.00S,4,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,Nembhard Bad Pass Turnover (P4.T15),Turnover,Bad Pass,0
PT11M34.00S,4,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams STEAL (2 STL),,,0
PT11M20.00S,4,CHI,1642950,Olbrich,L. Olbrich,-16,37,4,Missed,1,,,0,v,MISS Olbrich 4' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,2
PT11M18.00S,4,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:6 Def:9),Rebound,Unknown,0
PT11M12.00S,4,DAL,1641890,Smith,T. Smith,159,201,26,Missed,1,,,0,h,MISS Smith 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,3
PT11M09.00S,4,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,Olbrich REBOUND (Off:4 Def:4),Rebound,Unknown,0
